run_id,paper_task,paper_model,paper_variant,epsilon,legacy_task,legacy_model,legacy_tag,n_seeds,seed_ids,source_pattern,source_files,task_rmse_mean,task_rmse_sd,post_hold_1000_rmse_mean,post_hold_1000_rmse_sd,normal_kick_1x_recovery_500_rmse_mean,normal_kick_1x_recovery_500_rmse_sd,tangent_shift_recovery_500_rmse_mean,tangent_shift_recovery_500_rmse_sd,persistent_coordinate_count_mean,persistent_coordinate_count_sd,retention_sum_mean,retention_sum_sd,trainable_parameter_count_mean,trainable_parameter_count_sd,wall_time_seconds_mean,wall_time_seconds_sd
epsilon_sensitivity.ring_hold.eps0,ring_hold,CA-LRU,state-dependent update,0,ring_hold,PAN-RNW-full,am_lru_rnw_eps0,3,"0,1,2",exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps0_seed*.json,exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps0_seed0.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps0_seed1.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps0_seed2.json,0.00137465121225,0.000182885002454,0.00189805744837,0.000177105088926,0.032266628618,0.00248473957255,0.00184182287194,0.000132260778659,4.66666666667,0.57735026919,90.9920832316,0.0444922285213,57026,0,2859.12275012,15.7975143474
epsilon_sensitivity.ring_hold.eps3e-5,ring_hold,CA-LRU,state-dependent update,3e-5,ring_hold,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps3e-5_seed2.json,0.00169139720189,0.000442910102371,0.00169139720189,0.000442910102371,0.031565990299,0.00245310740856,0.00168662980044,0.000438463088261,3,0,16.3157018026,0.0832201343398,57026,0,2897.96064496,93.0867233568
epsilon_sensitivity.ring_hold.eps1e-4,ring_hold,CA-LRU,state-dependent update,1e-4,ring_hold,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_hold_am_lru_rnw_eps1e-4_seed2.json,0.000735030538635,0.00041423766107,0.000735030538635,0.00041423766107,0.0313780630628,0.00259493718242,0.000737871479942,0.000417814518986,3,0,3.01208035151,7.3391626149e-05,57026,0,2921.98312855,59.7716907601
epsilon_sensitivity.ring_integrate.eps0,ring_integrate,CA-LRU,state-dependent update,0,ring_integrate,PAN-RNW-full,am_lru_rnw_eps0,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps0_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps0_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps0_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps0_seed2.json,0.00568574791153,0.00310485796848,0.00704696665828,0.00243077018132,0.0177753716707,0.00115852252937,0.00697653337071,0.00245015598866,8.66666666667,0.57735026919,91.1822306315,0.00849634166517,57026,0,4340.26488098,107.373183259
epsilon_sensitivity.ring_integrate.eps3e-5,ring_integrate,CA-LRU,state-dependent update,3e-5,ring_integrate,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps3e-5_seed2.json,0.00486195298921,0.00378333329831,0.00486195298921,0.00378333329831,0.0169919052472,0.00213858838423,0.004854471966,0.00378927458441,6.33333333333,1.15470053838,19.1806329091,0.769059368415,57026,0,4199.03553549,166.240106827
epsilon_sensitivity.ring_integrate.eps1e-4,ring_integrate,CA-LRU,state-dependent update,1e-4,ring_integrate,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/ring_integrate_am_lru_rnw_eps1e-4_seed2.json,0.00218153634341,0.00203699796838,0.00218153634341,0.00203699796838,0.0160542794814,0.00113360603222,0.00215978400471,0.00202204738145,6,1,6.01180712382,0.999806409387,57026,0,4308.86283318,140.567051911
epsilon_sensitivity.torus_hold.eps0,torus_hold,CA-LRU,state-dependent update,0,torus_hold,PAN-RNW-full,am_lru_rnw_eps0,3,"0,1,2",exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps0_seed*.json,exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps0_seed0.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps0_seed1.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps0_seed2.json,0.00462318529996,0.00140732185225,0.00466076020772,0.00141437031849,0.0241483425101,0.00102488842794,0.00465902111803,0.00140982520553,4,1,90.8387145996,0.261649639187,57507,0,3241.88184921,25.4208795618
epsilon_sensitivity.torus_hold.eps3e-5,torus_hold,CA-LRU,state-dependent update,3e-5,torus_hold,PAN-RNW-full,am_lru_rnw_eps3e-5,3,"0,1,2",exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps3e-5_seed*.json,exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps3e-5_seed0.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps3e-5_seed1.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps3e-5_seed2.json,0.00222238587836,0.000142458904842,0.00222238587836,0.000142458904842,0.0236405053486,0.000589906685396,0.00222643387193,0.000139334876582,3.66666666667,0.57735026919,16.7173817952,0.680629771056,57507,0,3260.47075979,26.247897668
epsilon_sensitivity.torus_hold.eps1e-4,torus_hold,CA-LRU,state-dependent update,1e-4,torus_hold,PAN-RNW-full,am_lru_rnw_eps1e-4,3,"0,1,2",exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps1e-4_seed*.json,exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps1e-4_seed0.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps1e-4_seed1.json;exp88_writer_sweep_results/torus_hold_am_lru_rnw_eps1e-4_seed2.json,0.00340471412831,0.00148839752354,0.00340471412831,0.00148839752354,0.0238171480596,0.000563942599775,0.00340212439187,0.00148028057849,3.66666666667,0.57735026919,3.67859745026,0.577327007036,57507,0,3303.7312928,103.567761
epsilon_sensitivity.torus_integrate.eps0,torus_integrate,CA-LRU,state-dependent update,0,torus_integrate,PAN-RNW-full,am_lru_rnw_eps0,3,"0,1,2",exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps0_seed*.json,exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps0_seed0.json;exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps0_seed1.json;exp88_writer_sweep_results/torus_integrate_am_lru_rnw_eps0_seed2.json,0.007115934665,0.00177420343323,0.00895046256483,0.00239931936498,0.0240219676246,0.00331635412569,0.00888790826624,0.00234834163759,8,1,90.8589909871,0.514245262507,57507,0,4654.53771631,239.962764416
